open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1710368100000,73190.30,73280.30,72993.20,73090.00,1366.446,1710368999999,99958749.79450,22415,401.762,29398510.93400,0
1710369000000,73090.00,73096.80,72888.00,72945.20,1765.901,1710369899999,128887923.82590,31615,853.631,62310703.97370,0
1710369900000,72945.10,73037.60,72883.20,73003.60,1254.712,1710370799999,91527724.36220,20091,599.242,43722790.67210,0
1710370800000,73003.60,73173.60,72950.00,73162.70,1104.545,1710371699999,80715628.76310,20057,561.996,41066125.41250,0
1710371700000,73162.70,73177.00,72958.50,73018.30,751.728,1710372599999,54920857.99920,18906,337.075,24625698.13320,0
1710372600000,73018.30,73145.70,72959.90,73101.10,676.027,1710373499999,49387200.13410,14574,339.458,24799552.81300,0
1710373500000,73101.20,73188.00,73049.40,73127.60,724.990,1710374399999,53010185.18110,15427,350.428,25623318.22150,0
1710374400000,73127.60,73132.00,72987.10,73044.60,1238.112,1710375299999,90437877.54380,21701,564.517,41231814.94220,0
1710375300000,73044.50,73237.00,73030.00,73172.90,1236.892,1710376199999,90474957.02000,21992,647.834,47388561.00440,0
1710376200000,73173.00,73173.00,72906.20,72967.40,1401.846,1710377099999,102310046.85350,25688,617.105,45031119.65150,0
1710377100000,72967.30,73030.80,72813.60,72900.00,1792.326,1710377999999,130646360.50810,30401,928.584,67684176.49540,0
1710378000000,72899.90,72900.00,72680.00,72754.30,2689.062,1710378899999,195690462.99292,46141,1106.573,80532738.37870,0
1710378900000,72754.30,72860.00,72742.90,72794.80,933.037,1710379799999,67929499.90350,18602,432.501,31488808.19780,0
1710379800000,72794.90,72861.40,72540.50,72774.20,2616.463,1710380699999,190117115.89400,39697,1079.676,78481039.37090,0
1710380700000,72774.10,73023.80,72726.10,72993.50,2212.065,1710381599999,161235009.69760,33364,1444.094,105243865.63340,0
1710381600000,72993.40,73017.80,72871.30,72952.80,1256.856,1710382499999,91684352.33350,20808,574.098,41880024.35270,0
1710382500000,72952.80,73200.00,72874.40,73196.20,2389.621,1710383399999,174657243.99910,33785,1584.411,115804288.09640,0
1710383400000,73196.30,73299.90,73129.20,73169.50,1801.052,1710384299999,131860544.31054,27206,893.287,65408867.90684,0
1710384300000,73169.60,73169.60,72997.00,73089.90,1153.050,1710385199999,84252976.68640,20149,417.593,30512541.34100,0
1710385200000,73089.90,73280.00,73073.70,73225.70,1615.715,1710386099999,118259686.56880,26088,802.319,58718003.23910,0
1710386100000,73225.60,73385.00,73187.20,73315.60,2268.416,1710386999999,166257888.38510,32984,1163.734,85302591.50650,0
1710387000000,73315.50,73347.70,73234.20,73298.70,1101.738,1710387899999,80749766.65630,21635,526.560,38595139.35550,0
1710387900000,73298.70,73364.80,73217.10,73333.30,1057.023,1710388799999,77475457.70070,18945,438.001,32106428.27180,0
1710388800000,73333.30,73769.60,73301.90,73632.90,5365.889,1710389699999,394661152.36117,80813,3318.182,244028880.50437,0
1710389700000,73632.80,73651.70,73367.00,73390.90,3421.179,1710390599999,251539701.06460,53754,1435.020,105522355.56110,0
1710390600000,73390.80,73397.50,72862.00,72990.60,5814.193,1710391499999,424881949.76502,74617,2223.931,162483945.26390,0
1710391500000,72990.50,73092.00,72720.00,73008.70,4155.796,1710392399999,303050560.11290,67527,2073.018,151198200.23580,0
1710392400000,73008.70,73095.00,72780.00,72818.00,2636.474,1710393299999,192389946.22560,47629,1153.288,84166056.39210,0
1710393300000,72818.00,73058.80,72804.10,73002.30,1740.390,1710394199999,126978918.45630,29523,961.245,70133170.86620,0
1710394200000,73002.30,73119.40,72990.90,73066.90,1085.147,1710395099999,79291093.63060,19573,723.225,52845793.48020,0
